Flat No,Device ID,Sensor Type,Event Type,Leak Status,Time Occurred,Time Resolved,Duration (minutes),Details
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-23T04:56:20.596Z,2026-05-23T04:56:20.601Z,0,Leak resolved. Duration: 0 minutes
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-23T04:56:20.606Z,,,Leak detected. Status: Alert
,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-23T05:06:32.870Z,2026-05-23T05:06:41.257Z,0,Leak resolved. Duration: 0 minutes
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-23T05:06:40.856Z,2026-05-23T05:06:58.755Z,0,Leak resolved. Duration: 0 minutes
,GVM202601485,External Device,LEAK_STARTED,Alert,2026-05-23T05:09:07.150Z,2026-05-23T05:09:19.111Z,0,Leak resolved. Duration: 0 minutes
,GVM202601483,External Device,LEAK_STARTED,Alert,2026-05-23T05:14:28.314Z,2026-05-23T05:14:40.275Z,0,Leak resolved. Duration: 0 minutes
,GVM202601486,External Device,LEAK_ENDED,Resolved,2026-05-23T05:24:58.291Z,2026-05-23T05:24:58.291Z,0,Leak resolved and device returned to normal status (start event missing)
,GVM202601485,External Device,LEAK_STARTED,Alert,2026-05-23T06:11:41.630Z,2026-05-23T06:11:52.642Z,0,Leak resolved. Duration: 0 minutes
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-23T06:20:07.390Z,2026-05-23T06:20:22.352Z,0,Leak resolved. Duration: 0 minutes
,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-23T06:22:45.786Z,2026-05-23T06:22:57.709Z,0,Leak resolved. Duration: 0 minutes
,GVM202601483,External Device,LEAK_STARTED,Alert,2026-05-23T06:36:00.167Z,2026-05-23T06:36:11.425Z,0,Leak resolved. Duration: 0 minutes
,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-23T06:49:55.797Z,2026-05-23T06:50:03.980Z,0,Leak resolved. Duration: 0 minutes
,GVM202601485,External Device,LEAK_STARTED,Alert,2026-05-23T06:50:58.839Z,2026-05-23T06:51:10.847Z,0,Leak resolved. Duration: 0 minutes
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-23T06:52:00.479Z,2026-05-23T06:52:18.417Z,0,Leak resolved. Duration: 0 minutes
,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-23T07:17:51.978Z,2026-05-23T07:18:05.088Z,0,Leak resolved. Duration: 0 minutes
,GVM202601483,External Device,LEAK_STARTED,Alert,2026-05-23T07:18:18.423Z,2026-05-23T07:18:32.424Z,0,Leak resolved. Duration: 0 minutes
,GVM202601485,External Device,LEAK_STARTED,Alert,2026-05-23T08:30:53.965Z,2026-05-23T08:31:06.928Z,0,Leak resolved. Duration: 0 minutes
,GVM202601483,External Device,LEAK_STARTED,Alert,2026-05-23T08:45:51.202Z,2026-05-23T08:46:04.196Z,0,Leak resolved. Duration: 0 minutes
,GVM202601485,External Device,LEAK_STARTED,Alert,2026-05-23T08:46:21.696Z,2026-05-23T08:46:34.909Z,0,Leak resolved. Duration: 0 minutes
,GVM202601483,External Device,LEAK_STARTED,Alert,2026-05-23T08:53:23.715Z,2026-05-23T08:53:38.752Z,0,Leak resolved. Duration: 0 minutes
,GVM202601485,External Device,LEAK_STARTED,Alert,2026-05-23T09:07:15.282Z,2026-05-23T09:07:26.240Z,0,Leak resolved. Duration: 0 minutes
,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-23T09:14:13.073Z,2026-05-23T09:14:24.922Z,0,Leak resolved. Duration: 0 minutes
,GVM202601483,External Device,LEAK_STARTED,Alert,2026-05-23T09:15:14.519Z,2026-05-23T09:15:27.355Z,0,Leak resolved. Duration: 0 minutes
,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-23T09:22:53.656Z,2026-05-23T09:23:06.660Z,0,Leak resolved. Duration: 0 minutes
,GVM202601483,External Device,LEAK_STARTED,Alert,2026-05-23T09:23:00.122Z,2026-05-23T09:23:11.906Z,0,Leak resolved. Duration: 0 minutes
,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-23T09:23:09.438Z,2026-05-23T09:23:22.377Z,0,Leak resolved. Duration: 0 minutes
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-23T09:31:52.322Z,2026-05-23T09:32:06.288Z,0,Leak resolved. Duration: 0 minutes
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-23T09:46:51.424Z,2026-05-23T09:47:06.391Z,0,Leak resolved. Duration: 0 minutes
,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-23T09:49:39.998Z,2026-05-23T09:49:51.074Z,0,Leak resolved. Duration: 0 minutes
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-23T10:05:18.329Z,2026-05-23T10:05:30.285Z,0,Leak resolved. Duration: 0 minutes
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-23T10:26:57.029Z,2026-05-23T10:27:09.107Z,0,Leak resolved. Duration: 0 minutes
,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-23T10:27:21.721Z,2026-05-23T10:27:36.448Z,0,Leak resolved. Duration: 0 minutes
,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-23T10:27:27.552Z,2026-05-23T10:27:40.544Z,0,Leak resolved. Duration: 0 minutes
,GVM202601485,External Device,LEAK_STARTED,Alert,2026-05-23T10:33:28.081Z,2026-05-23T10:33:40.070Z,0,Leak resolved. Duration: 0 minutes
,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-23T11:03:59.402Z,2026-05-23T11:04:11.496Z,0,Leak resolved. Duration: 0 minutes
A8-009,GVM202601474,External Device,STATUS_CHANGED,Online,2026-05-23T11:05:55.265Z,,,Status changed from Unknown to Online
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-23T11:07:14.390Z,2026-05-23T11:07:33.153Z,0,Leak resolved. Duration: 0 minutes
,GVM202601483,External Device,LEAK_STARTED,Alert,2026-05-23T11:14:10.243Z,2026-05-23T11:14:23.198Z,0,Leak resolved. Duration: 0 minutes
,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-23T11:14:29.975Z,2026-05-23T11:14:40.836Z,0,Leak resolved. Duration: 0 minutes
,GVM202601486,External Device,STATUS_CHANGED,Online,2026-05-23T11:15:13.243Z,,,Status changed from No Communication to Online
,GVM202601485,External Device,LEAK_STARTED,Alert,2026-05-23T11:19:36.301Z,2026-05-23T11:19:49.362Z,0,Leak resolved. Duration: 0 minutes
,GVM202601485,External Device,LEAK_STARTED,Alert,2026-05-23T11:31:42.576Z,2026-05-23T11:31:57.531Z,0,Leak resolved. Duration: 0 minutes
,GVM202601483,External Device,LEAK_STARTED,Alert,2026-05-23T11:43:20.856Z,2026-05-23T11:43:29.032Z,0,Leak resolved. Duration: 0 minutes
,GVM202601483,External Device,LEAK_STARTED,Alert,2026-05-23T11:59:14.125Z,2026-05-23T11:59:27.077Z,0,Leak resolved. Duration: 0 minutes
,GVM202601485,External Device,LEAK_STARTED,Alert,2026-05-23T11:59:44.068Z,2026-05-23T11:59:59.027Z,0,Leak resolved. Duration: 0 minutes
,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-23T12:00:39.574Z,2026-05-23T12:00:50.508Z,0,Leak resolved. Duration: 0 minutes
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-23T12:01:49.463Z,2026-05-23T12:02:07.383Z,0,Leak resolved. Duration: 0 minutes
,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-23T12:03:31.852Z,2026-05-23T12:03:40.410Z,0,Leak resolved. Duration: 0 minutes
,GVM202601485,External Device,STATUS_CHANGED,Online,2026-05-25T04:20:24.316Z,,,Status changed from Unknown to Online
,GVM202601484,External Device,STATUS_CHANGED,Online,2026-05-25T04:20:24.858Z,,,Status changed from Unknown to Online
A8-009,GVM202601474,External Device,STATUS_CHANGED,Online,2026-05-25T04:20:25.288Z,,,Status changed from Unknown to Online
,GVM202601486,External Device,STATUS_CHANGED,Online,2026-05-25T04:20:25.377Z,,,Status changed from Unknown to Online
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-25T04:21:03.289Z,2026-05-25T04:21:21.354Z,0,Leak resolved. Duration: 0 minutes
,GVM202601483,External Device,STATUS_CHANGED,Online,2026-05-25T04:21:53.779Z,,,Status changed from Unknown to Online
,GVM202601483,External Device,LEAK_STARTED,Alert,2026-05-25T04:22:02.888Z,2026-05-25T04:22:15.793Z,0,Leak resolved. Duration: 0 minutes
,GVM202601485,External Device,LEAK_STARTED,Alert,2026-05-25T04:24:54.070Z,2026-05-25T04:25:07.104Z,0,Leak resolved. Duration: 0 minutes
,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T04:32:34.173Z,2026-05-25T04:32:46.092Z,0,Leak resolved. Duration: 0 minutes
,GVM202601483,External Device,LEAK_STARTED,Alert,2026-05-25T04:32:54.249Z,2026-05-25T04:33:05.084Z,0,Leak resolved. Duration: 0 minutes
,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T04:49:55.536Z,2026-05-25T04:50:03.576Z,0,Leak resolved. Duration: 0 minutes
A8-009,GVM202601474,External Device,STATUS_CHANGED,Online,2026-05-25T05:16:32.982Z,,,Status changed from Unknown to Online
,GVM202601486,External Device,STATUS_CHANGED,Online,2026-05-25T05:16:59.158Z,,,Status changed from Unknown to Online
,GVM202601485,External Device,STATUS_CHANGED,Online,2026-05-25T05:16:59.687Z,,,Status changed from Unknown to Online
,GVM202601484,External Device,STATUS_CHANGED,Online,2026-05-25T05:17:00.181Z,,,Status changed from Unknown to Online
,GVM202601483,External Device,STATUS_CHANGED,Online,2026-05-25T05:17:01.207Z,,,Status changed from Unknown to Online
,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T05:17:31.842Z,2026-05-25T05:17:41.196Z,0,Leak resolved. Duration: 0 minutes
A8-009,GVM202601474,External Device,LEAK_STARTED,Alert,2026-05-25T05:35:03.183Z,2026-05-25T05:35:19.968Z,0,Leak resolved. Duration: 0 minutes
